dataset,method,repeat,elapsed_sec,exit_code,run_dir,eps,minPts,K,noise_ratio,summary_path,command
delta_cog__ais_sample2_segments_dtw_matrix,twostage,1,0.020992,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_sample2_segments_dtw_matrix.npy,1.625270,36,1,0.025000,,matrix_mode::twostage(raw_D)
delta_cog__ais_sample2_segments_dtw_matrix,drl,1,0.016595,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_sample2_segments_dtw_matrix.npy,0.033370,2,5,0.225000,,matrix_mode::drl(constrained_D)
delta_cog__ais_sample2_segments_v2_dtw_matrix,twostage,1,0.013899,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_sample2_segments_v2_dtw_matrix.npy,1.581743,21,1,0.036585,,matrix_mode::twostage(raw_D)
delta_cog__ais_sample2_segments_v2_dtw_matrix,drl,1,0.015438,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_sample2_segments_v2_dtw_matrix.npy,0.047699,1,35,0.000000,,matrix_mode::drl(constrained_D)
delta_cog__ais_sample2_segments_v2_pruned_k3_10_dtw_matrix,twostage,1,0.012004,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_sample2_segments_v2_pruned_k3_10_dtw_matrix.npy,0.661419,1,42,0.000000,,matrix_mode::twostage(raw_D)
delta_cog__ais_sample2_segments_v2_pruned_k3_10_dtw_matrix,drl,1,0.014873,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_sample2_segments_v2_pruned_k3_10_dtw_matrix.npy,0.055711,1,23,0.000000,,matrix_mode::drl(constrained_D)
delta_cog__ais_sample5_dtw_matrix,twostage,1,0.007488,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_sample5_dtw_matrix.npy,0.274832,1,20,0.000000,,matrix_mode::twostage(raw_D)
delta_cog__ais_sample5_dtw_matrix,drl,1,0.013248,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_sample5_dtw_matrix.npy,0.077790,1,14,0.000000,,matrix_mode::drl(constrained_D)
delta_cog__ais_yuanli_cleaned_dtw_matrix,twostage,1,0.008625,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_yuanli_cleaned_dtw_matrix.npy,0.594720,5,1,0.300000,,matrix_mode::twostage(raw_D)
delta_cog__ais_yuanli_cleaned_dtw_matrix,drl,1,0.014240,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_yuanli_cleaned_dtw_matrix.npy,0.015246,1,25,0.000000,,matrix_mode::drl(constrained_D)
delta_cog__ais_yuanli_dtw_matrix,twostage,1,0.014833,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_yuanli_dtw_matrix.npy,0.394526,3,3,0.500000,,matrix_mode::twostage(raw_D)
delta_cog__ais_yuanli_dtw_matrix,drl,1,0.018335,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_yuanli_dtw_matrix.npy,0.014945,1,53,0.000000,,matrix_mode::drl(constrained_D)
delta_cog__clean_ais_filtered_dtw_matrix,twostage,1,0.015805,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/clean_ais_filtered_dtw_matrix.npy,0.003078,1,94,0.000000,,matrix_mode::twostage(raw_D)
delta_cog__clean_ais_filtered_dtw_matrix,drl,1,0.015979,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/clean_ais_filtered_dtw_matrix.npy,0.022589,1,81,0.000000,,matrix_mode::drl(constrained_D)
delta_cog__final_dtw_matrix,twostage,1,0.010471,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/final_dtw_matrix.npy,0.222522,1,51,0.000000,,matrix_mode::twostage(raw_D)
delta_cog__final_dtw_matrix,drl,1,0.014878,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/final_dtw_matrix.npy,0.013874,1,35,0.000000,,matrix_mode::drl(constrained_D)
delta_cog__iter_00_dtw_matrix,twostage,1,0.008037,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/iter_00_dtw_matrix.npy,0.276711,1,22,0.000000,,matrix_mode::twostage(raw_D)
delta_cog__iter_00_dtw_matrix,drl,1,0.016800,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/iter_00_dtw_matrix.npy,0.029573,1,17,0.000000,,matrix_mode::drl(constrained_D)
delta_cog__pruned_dataset_dtw_matrix,twostage,1,0.013625,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/pruned_dataset_dtw_matrix.npy,0.825068,2,8,0.273973,,matrix_mode::twostage(raw_D)
delta_cog__pruned_dataset_dtw_matrix,drl,1,0.015151,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/pruned_dataset_dtw_matrix.npy,0.067546,2,7,0.205479,,matrix_mode::drl(constrained_D)
