MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
538007622,2021-02-18 04:33:06,34.32611,-122.46099,19.5,266.0,268.0,,,,,0,,,,,A
538007622,2021-02-18 04:34:07,34.32564,-122.46771,19.4,265.0,268.0,,,,,0,,,,,A
538007622,2021-02-18 04:35:09,34.32517,-122.47433,19.5,266.0,269.0,,,,,0,,,,,A
538007622,2021-02-18 04:36:11,34.32491,-122.48116,19.4,267.0,268.0,,,,,0,,,,,A
538007622,2021-02-18 04:37:12,34.32458,-122.48766,19.5,267.0,269.0,,,,,0,,,,,A
538007622,2021-02-18 04:38:13,34.32428,-122.49445,19.6,267.0,269.0,,,,,0,,,,,A
538007622,2021-02-18 04:39:14,34.32397,-122.50102,19.6,267.0,268.0,,,,,0,,,,,A
538007622,2021-02-18 04:40:15,34.3235,-122.50767,19.6,265.0,268.0,,,,,0,,,,,A
538007622,2021-02-18 04:41:18,34.32311,-122.51454,19.6,266.0,268.0,,,,,0,,,,,A
538007622,2021-02-18 04:42:19,34.3227,-122.52129,19.5,265.0,268.0,,,,,0,,,,,A
538007622,2021-02-18 04:43:20,34.32225,-122.52782,19.5,265.0,268.0,,,,,0,,,,,A
538007622,2021-02-18 04:44:21,34.32177,-122.53454,19.5,266.0,268.0,,,,,0,,,,,A
538007622,2021-02-18 04:45:23,34.32142,-122.5413,19.6,267.0,268.0,,,,,0,,,,,A
538007622,2021-02-18 04:46:24,34.32104,-122.54784,19.6,266.0,268.0,,,,,0,,,,,A
538007622,2021-02-18 04:47:25,34.32054,-122.55457,19.5,265.0,269.0,,,,,0,,,,,A
538007622,2021-02-18 04:48:27,34.32017,-122.56117,19.7,266.0,268.0,,,,,0,,,,,A
538007622,2021-02-18 04:49:30,34.3198,-122.56813,19.7,266.0,268.0,,,,,0,,,,,A
538007622,2021-02-18 04:50:31,34.31939,-122.57493,19.7,266.0,268.0,,,,,0,,,,,A
538007622,2021-02-18 04:51:34,34.31899,-122.58174,19.7,266.0,268.0,,,,,0,,,,,A
538007622,2021-02-18 04:52:35,34.31849,-122.58852,19.7,264.0,267.0,,,,,0,,,,,A
