iteration,num_tracks,eps,minPts,K,noise_ratio,removed_this_round
1,238,0.8780187977975622,33,2,0.08403361344537816,8
2,230,0.30873141749299643,2,14,0.5826086956521739,8
3,222,0.23159604830436178,1,187,0.0,8
4,214,0.8506761376652908,23,2,0.04205607476635514,8
5,206,0.9470614788825553,29,2,0.009708737864077669,8
6,198,1.0564499707115413,37,2,0.0,8
7,190,0.4172228587105378,3,7,0.45263157894736844,0
