segment_id,mmsi,start_time,end_time,points,duration_min,span_km,mean_sog,max_sog,start_lat,start_lon,end_lat,end_lon,start_gate,end_gate,route_signature,kept,reason,final_kept
563090500_seg00001,563090500,2021-01-02 03:00:05,2021-01-02 04:09:48,50,69.71666666666667,39.0869223512959,18.184,18.6,34.38034,-123.28719,34.38717,-122.86133,interior,interior,interior->interior,0,points<80,0
563090500_seg00002,563090500,2021-01-02 05:00:06,2021-01-02 05:16:29,16,16.383333333333333,9.040352202546915,17.893749999999997,18.0,34.39653,-122.56059,34.39648,-122.46206,east,east,east->east,0,points<80,0
563090500_seg00003,563090500,2021-01-02 22:25:41,2021-01-02 22:37:17,3,11.6,6.491288086516847,18.2,18.4,34.37818,-123.39968,34.37997,-123.32898,west,west,west->west,0,points<80,0
563090500_seg00004,563090500,2021-01-02 23:28:05,2021-01-02 23:54:11,3,26.1,13.904001040760027,18.066666666666666,18.4,34.3814,-123.0103,34.38726,-122.85895,interior,interior,interior->interior,0,points<80,0
563090500_seg00005,563090500,2021-01-22 11:00:05,2021-01-22 11:05:34,6,5.483333333333333,3.4673456043984276,20.46666666666667,20.5,34.43367,-122.66082,34.43428,-122.69862,interior,interior,interior->interior,0,points<80,0
563090500_seg00006,563090500,2021-01-22 12:00:34,2021-01-22 12:28:41,10,28.116666666666667,17.486396605661646,20.15,20.3,34.43661,-123.06711,34.43337,-123.25774,interior,interior,interior->interior,0,points<80,0
563090500_seg00007,563090500,2021-01-22 16:43:29,2021-01-22 16:43:29,1,0.0,0.0,20.5,20.5,34.43441,-122.70479,34.43441,-122.70479,interior,interior,interior->interior,0,points<80,0
538008133_seg00008,538008133,2021-01-02 03:50:01,2021-01-02 06:24:08,139,154.11666666666667,92.19326839288648,19.300719424460432,20.3,34.33112,-123.46183,34.38992,-122.45998,corner_south_west,east,corner_south_west->east,1,rare_route_filtered,0
538008133_seg00009,538008133,2021-03-12 10:01:42,2021-03-12 12:39:18,110,157.6,91.6891566676011,18.89,19.6,34.82558,-123.44668,34.66775,-122.4617,corner_north_west,east,corner_north_west->east,1,rare_route_filtered,0
636092819_seg00010,636092819,2021-01-03 03:57:58,2021-01-03 06:29:08,127,151.16666666666666,55.58558638104216,11.8748031496063,13.1,34.71956,-123.46661,34.27731,-123.18384,west,south,west->south,1,rare_route_filtered,0
352514000_seg00011,352514000,2021-01-03 17:05:30,2021-01-03 20:08:54,164,183.4,78.92377489720167,13.948170731707316,14.7,34.91439,-122.92408,34.2746,-122.55073,north,corner_east_south,north->corner_east_south,1,rare_route_filtered,0
