iteration,num_tracks,eps,minPts,K,noise_ratio,removed_this_round
1,267,0.27936837915813045,6,2,0.700374531835206,8
2,259,0.2810333598741631,5,1,0.722007722007722,8
3,251,0.2747948275158333,4,3,0.6852589641434262,0
