iteration,track_id,track_index,final_score,bridge_score,mean_dist,knn_dist,component_id
1,900000174,171,2.118566146695223,0.0,2.828516868850441,2.392296171435095,35
1,900000233,230,1.026886864956198,0.0,2.157013656590882,1.4300548955840238,52
1,900000185,182,0.9562572130510824,0.0,1.8033422544738442,1.367799645806056,40
1,900000056,54,0.8928575099348725,0.0,1.99660851322915,1.3119171057271237,9
1,900000138,135,0.8587633279234277,0.0,1.9108322636057071,1.2818653957179986,29
1,900000179,176,0.8258514838415644,0.0,1.724506160595998,1.2528558364365443,37
1,900000168,165,0.770282931316995,0.0,1.5331011113789075,1.203875924686949,34
1,900000298,264,0.7117403338027067,0.0,1.6707040854445536,1.1522745939059449,56
2,900000219,210,0.8691236686266222,0.0,1.6836986174736868,1.2192528043529594,58
2,900000041,39,0.855591080070647,0.0,1.9814319308865052,1.2084430249713072,7
2,900000215,206,0.8408654312334054,0.0,1.5802773766202862,1.1966802336528657,56
2,900000134,130,0.7960302996095789,0.0,1.8341631610320184,1.1608661039764774,37
2,900000193,184,0.7448405624926878,0.0,1.5069026926515483,1.1199759400178575,51
2,900000192,183,0.7400314797816426,0.0,1.7011417117325625,1.1161344633543582,50
2,900000162,157,0.7378074620287125,0.0,1.659432357529823,1.1143579265779233,41
2,900000164,159,0.7359450406737186,0.0,1.588869530099971,1.1128702316051626,42
