track_id,label
900000006,0
900000007,0
900000008,0
900000009,0
900000010,1
900000011,2
900000012,0
900000013,0
900000014,0
900000015,0
900000016,0
900000017,0
900000018,0
900000019,0
900000020,0
900000021,0
900000022,0
900000023,0
900000024,0
900000025,0
900000026,0
900000027,0
900000028,0
900000029,0
900000030,0
900000031,0
900000032,0
900000033,0
900000034,0
900000035,0
900000036,0
900000037,0
900000038,0
900000039,0
900000040,0
900000041,0
900000042,0
900000043,0
900000044,0
900000045,0
900000046,2
900000047,2
900000048,2
900000049,2
900000050,2
900000051,2
900000052,2
900000053,2
900000054,2
900000055,2
900000056,2
900000057,2
900000058,2
900000059,2
900000060,0
900000061,0
900000062,2
900000063,2
900000064,2
900000065,2
900000066,2
900000067,2
900000068,1
900000069,2
900000070,2
900000071,2
900000072,3
900000073,3
