traj_id,point_idx,lat,lon,sog,cog
0,0,41.2834,-71.67487,15.6,78.2
0,1,41.28624545454545,-71.65807545454545,15.381818181818183,72.67272727272727
0,2,41.28897846153846,-71.64738676923078,15.3,69.79076923076923
0,3,41.29189909090909,-71.63667575757576,15.362121212121213,68.87272727272727
0,4,41.29355,-71.63146045454546,15.357575757575757,64.60151515151516
0,5,41.29535,-71.62625814814815,15.475925925925926,65.26851851851852
0,6,41.29889015151515,-71.61591106060605,15.280303030303031,65.78181818181818
0,7,41.302348333333335,-71.60564469696969,15.2,65.61212121212121
0,8,41.30576611940298,-71.59541268656717,15.117910447761194,66.4820895522388
0,9,41.30919758064516,-71.58522274193548,14.961290322580645,66.60161290322581
0,10,41.310995625000004,-71.58034,14.5796875,61.682812500000004
0,11,41.313067878787884,-71.57586515151516,14.007575757575758,56.85
0,12,41.322819230769234,-71.55569046153846,11.123076923076923,67.16
0,13,41.32244615384616,-71.54556307692307,8.36923076923077,103.06153846153846
0,14,41.32090857142857,-71.53987238095239,8.285714285714286,106.86666666666666
0,15,41.32116412698412,-71.53404476190475,7.874603174603175,85.56190476190477
0,16,41.31959098591549,-71.52887929577466,8.09718309859155,122.60563380281691
0,17,41.31653,-71.52345577464789,9.952112676056338,128.36338028169016
0,18,41.27099444444445,-71.44612238095237,12.40952380952381,132.7888888888889
0,19,41.241384153846155,-71.41675723076922,11.461538461538462,152.05846153846153
0,20,41.235475,-71.414765,11.0,174.15
0,21,41.232434285714284,-71.41460857142857,11.02142857142857,180.3642857142857
0,22,41.17838333333333,-71.42026333333332,10.3,181.93333333333334
0,23,41.173124,-71.41790800000001,10.18,153.26000000000002
0,24,41.16496057142857,-71.41295114285714,10.822857142857144,156.2
1,0,41.29897,-71.67828,14.3,69.8
1,1,41.30351273972603,-71.66363315068493,14.265753424657534,66.93698630136986
1,2,41.306664545454545,-71.65384727272728,14.245454545454546,66.2090909090909
1,3,41.30991164179105,-71.64434880597015,14.146268656716417,65.65373134328358
1,4,41.31324,-71.63485,14.0,65.2
1,5,41.31656954545454,-71.62541484848485,13.6,63.58030303030303
1,6,41.31973786885246,-71.61681065573771,13.208196721311475,62.24754098360656
1,7,41.32303211267605,-71.60844492957747,13.0,62.29718309859155
1,8,41.32469329113924,-71.60420164556962,12.964556962025316,62.36455696202532
1,9,41.326007215189875,-71.59975860759494,12.660759493670886,68.06075949367089
1,10,41.32842458333333,-71.5911575,12.275,70.35833333333333
1,11,41.329545967741936,-71.58699967741936,11.390322580645162,76.25806451612904
1,12,41.32899222222222,-71.5800526984127,9.1,121.95079365079366
1,13,41.32746614285714,-71.57744114285714,9.127142857142857,130.0157142857143
1,14,41.31029478260869,-71.55095811594202,9.434782608695652,123.34927536231883
1,15,41.30798710144928,-71.54474826086957,9.340579710144928,112.59420289855072
1,16,41.30206695652174,-71.52945811594203,9.2,136.3521739130435
1,17,41.300088468468466,-71.5273181081081,9.252252252252251,142.05405405405406
1,18,41.27610573170732,-71.50480268292682,9.7,140.44024390243902
1,19,41.209628405797105,-71.42639246376812,9.302898550724638,147.4101449275362
1,20,41.204903188405794,-71.42484289855074,8.8,175.97246376811594
1,21,41.174561304347826,-71.42340898550725,9.19855072463768,170.12898550724637
1,22,41.167088591549295,-71.42122830985916,9.2,167.62535211267607
2,0,41.30174,-71.67601,13.3,69.3
2,1,41.305602173913044,-71.66219913043479,13.084057971014493,69.39855072463767
2,2,41.30805085714286,-71.65334671428572,12.872857142857143,69.85428571428571
2,3,41.31051493670886,-71.6444617721519,12.625316455696202,70.4367088607595
2,4,41.31291,-71.63584507246377,12.428985507246377,70.24202898550725
2,5,41.31525705882353,-71.62734544117647,12.05735294117647,69.06911764705882
2,6,41.317781571428576,-71.61919057142858,11.987142857142857,66.73285714285714
2,7,41.32033585714285,-71.61109857142857,11.9,67.37
2,8,41.32275436619718,-71.60341112676056,10.73661971830986,62.297183098591546
2,9,41.324552063492064,-71.59652238095238,8.952380952380953,90.8047619047619
2,10,41.32242084507042,-71.59118591549296,8.840845070422535,137.0605633802817
