track_id,label
900000001,1
900000002,2
900000005,3
900000006,1
900000007,0
900000008,2
900000009,0
900000010,1
900000011,2
900000012,0
900000013,0
900000014,1
900000015,1
900000016,1
900000017,1
900000018,2
900000019,1
900000020,1
900000021,1
900000022,0
900000023,0
900000024,1
900000025,0
900000026,1
900000027,0
900000028,1
900000029,0
900000030,1
900000031,0
900000032,0
900000033,0
900000034,1
900000035,1
900000036,1
900000037,1
900000038,1
900000039,3
900000040,1
900000041,1
900000042,3
900000043,1
900000044,3
900000045,0
900000046,1
900000047,0
900000048,0
900000049,0
900000050,0
900000051,0
900000052,2
900000053,0
900000054,0
900000055,2
900000056,0
900000057,0
900000058,0
900000059,3
900000060,0
900000061,1
900000062,1
900000063,1
900000064,1
900000065,0
900000066,0
900000067,0
900000068,2
900000069,1
900000070,1
900000071,0
900000072,1
900000073,0
900000074,1
900000075,1
900000076,2
900000077,1
900000078,0
900000079,0
900000080,0
900000081,0
900000082,0
900000083,0
900000084,0
900000085,0
900000086,1
900000087,2
900000088,1
900000089,2
900000090,1
900000091,2
900000092,1
900000093,0
900000094,1
900000095,2
900000096,0
900000097,1
900000098,3
900000099,1
900000100,3
900000101,1
900000102,2
900000103,1
900000104,2
900000105,1
900000106,3
900000107,1
900000108,0
900000109,0
900000110,2
900000111,1
900000112,2
900000113,1
900000114,2
900000115,1
900000116,0
900000117,2
900000118,0
900000119,0
900000120,0
900000121,0
900000122,0
900000123,0
900000124,3
900000125,0
900000126,0
900000127,1
900000128,0
900000129,2
900000130,1
900000131,3
900000132,0
900000133,0
900000134,0
900000135,1
900000136,2
900000137,2
900000138,1
900000139,1
900000140,3
900000141,1
900000142,2
900000143,2
900000144,0
900000145,3
900000146,1
900000147,0
900000148,0
900000149,0
900000150,0
900000152,0
900000153,3
900000154,1
900000155,1
900000156,3
900000157,0
900000158,0
900000160,0
900000161,3
900000162,3
900000163,0
900000164,0
900000165,0
900000166,2
900000167,0
900000168,0
900000169,0
900000170,0
900000171,0
900000172,0
900000173,0
900000174,0
900000175,0
900000176,0
900000177,0
900000178,0
900000180,0
900000181,0
900000182,0
900000183,2
900000184,1
900000185,1
900000186,3
900000187,1
900000188,1
900000189,1
900000190,1
900000191,0
900000192,0
900000193,0
900000194,0
900000195,2
900000196,0
900000197,0
900000198,1
900000199,0
900000200,2
900000201,0
900000202,0
900000203,0
900000204,3
900000205,0
900000206,0
900000207,0
900000208,0
900000209,3
900000214,0
900000215,0
900000216,1
900000217,1
900000218,1
900000219,2
900000220,1
900000221,1
900000222,2
900000223,1
900000224,1
900000225,1
900000226,3
900000227,1
900000228,1
900000229,0
900000230,0
900000231,0
900000232,1
900000233,1
900000235,0
900000236,0
900000237,0
900000238,1
900000239,2
900000240,0
900000241,0
900000242,0
900000243,0
900000244,0
900000245,0
900000246,0
900000247,1
900000248,0
900000249,0
900000250,1
900000251,1
900000252,1
900000254,1
900000258,0
900000259,1
900000260,0
900000261,0
900000262,0
900000263,0
900000264,1
900000265,1
900000266,0
900000267,0
900000268,0
900000269,0
900000270,0
900000271,0
900000272,1
900000273,0
900000274,1
900000275,0
900000276,0
900000277,1
900000278,0
900000279,2
900000280,1
900000281,0
900000282,0
900000283,0
900000284,0
900000285,1
900000286,1
900000287,2
900000288,0
900000289,0
900000290,1
900000291,0
900000292,1
900000293,2
900000294,1
900000295,1
900000296,1
900000297,1
900000298,0
900000299,1
900000300,1
